Code,Location,Country,Latitude,Longitude,Network,Contact
SPG,Saint Petersburg,Russia,60.542,29.716,imo,Par
SPT,San Pablo-Toledo,Spain,39.55,-4.35,imo,Par
STJ,St John's,Canada,47.595,307.323,imo,Ott
STT,San Teotonio,,37.5467,-8.7277,imo,Kyo
SUA,Surlari,Romania,44.68,26.25,imo,Par
TAM,Tamanrasset,Algeria,22.79,5.53,imo,Par
TDC,Tristan da Cunha,"Saint Helena, Ascension and Tristan da Cunha, British Overseas Territories",-37.067,-12.316,imo,Kyo
THL,Qaanaaq (Thule),Greenland,77.47,290.773,imo,Kyo
THY,Tihany,Hungary,46.9,17.89,imo,Edi
TSU,Tsumeb,Namibia,-19.202,17.584,imo,Edi
TTB,Tatuoca,,-1.205,311.487,imo,Edi
TUC,Tucson,United States of America,32.17,249.27,imo,Gol
UPS,Uppsala (Fiby),Sweden,59.903,17.353,imo,Edi
VAL,Valentia,Republic of Ireland,51.933,349.75,imo,Edi
VIC,Victoria,Canada,48.52,236.58,imo,Ott
VNA,Neumayer Station III,Antarctica,-70.683,-8.283,imo,Kyo
VOS,Vostok,Antarctica,-78.464,106.835,imo,Kyo
VSS,Vassouras,Brazil,-22.4,316.35,imo,Par
WIC,Conrad Observatory,Austria,47.9305,15.8657,imo,Edi
WNG,Wingst,Germany,53.725,9.053,imo,Edi
YAK,Yakutsk,Russia,61.96,129.66,imo,Edi
YKC,Yellowknife,Canada,62.48,245.518,imo,Ott
